image,detections_count,summary,raw_image_bytes,full_yolo_json_bytes,structured_json_bytes,annotated_image_bytes,summary_bytes,raw_image_bytes_tx_s_at_9.6_kbps,raw_image_bytes_tx_s_at_100_kbps,raw_image_bytes_tx_s_at_1000_kbps,raw_image_bytes_tx_s_at_10000_kbps,raw_image_bytes_tx_s_at_100000_kbps,full_yolo_json_bytes_tx_s_at_9.6_kbps,full_yolo_json_bytes_tx_s_at_100_kbps,full_yolo_json_bytes_tx_s_at_1000_kbps,full_yolo_json_bytes_tx_s_at_10000_kbps,full_yolo_json_bytes_tx_s_at_100000_kbps,structured_json_bytes_tx_s_at_9.6_kbps,structured_json_bytes_tx_s_at_100_kbps,structured_json_bytes_tx_s_at_1000_kbps,structured_json_bytes_tx_s_at_10000_kbps,structured_json_bytes_tx_s_at_100000_kbps,annotated_image_bytes_tx_s_at_9.6_kbps,annotated_image_bytes_tx_s_at_100_kbps,annotated_image_bytes_tx_s_at_1000_kbps,annotated_image_bytes_tx_s_at_10000_kbps,annotated_image_bytes_tx_s_at_100000_kbps,summary_bytes_tx_s_at_9.6_kbps,summary_bytes_tx_s_at_100_kbps,summary_bytes_tx_s_at_1000_kbps,summary_bytes_tx_s_at_10000_kbps,summary_bytes_tx_s_at_100000_kbps,raw_to_structured_ratio,raw_to_summary_ratio
dataset\sample_100_mix\train__t_13518.jpg,2,"detections=2; classes=Boeing787:1, Roundabout:1; geo_targets=2; total_ms=631.192",164508,93276,1024,69210,80,137.09,13.16064,1.316064,0.131606,0.013161,77.73,7.46208,0.746208,0.074621,0.007462,0.853333,0.08192,0.008192,0.000819,8.2e-05,57.675,5.5368,0.55368,0.055368,0.005537,0.066667,0.0064,0.00064,6.4e-05,6e-06,160.652344,2056.35
dataset\sample_100_mix\train__t_13785.jpg,3,"detections=3; classes=Dry Cargo Ship:1, Liquid Cargo Ship:1, other-ship:1; geo_targets=3; total_ms=656.165",109771,53416,1380,39048,106,91.475833,8.78168,0.878168,0.087817,0.008782,44.513333,4.27328,0.427328,0.042733,0.004273,1.15,0.1104,0.01104,0.001104,0.00011,32.54,3.12384,0.312384,0.031238,0.003124,0.088333,0.00848,0.000848,8.5e-05,8e-06,79.544203,1035.575472
dataset\sample_100_mix\train__t_14255.jpg,9,"detections=9; classes=Small Car:3, Van:6; geo_targets=9; total_ms=636.147",284099,180961,3450,133153,73,236.749167,22.72792,2.272792,0.227279,0.022728,150.800833,14.47688,1.447688,0.144769,0.014477,2.875,0.276,0.0276,0.00276,0.000276,110.960833,10.65224,1.065224,0.106522,0.010652,0.060833,0.00584,0.000584,5.8e-05,6e-06,82.347536,3891.767123
dataset\sample_100_mix\train__t_14350.jpg,3,detections=3; classes=Dry Cargo Ship:3; geo_targets=3; total_ms=833.361,163008,73368,1380,54012,71,135.84,13.04064,1.304064,0.130406,0.013041,61.14,5.86944,0.586944,0.058694,0.005869,1.15,0.1104,0.01104,0.001104,0.00011,45.01,4.32096,0.432096,0.04321,0.004321,0.059167,0.00568,0.000568,5.7e-05,6e-06,118.121739,2295.887324
dataset\sample_100_mix\train__t_14368.jpg,2,detections=2; classes=Intersection:2; geo_targets=2; total_ms=628.399,199458,116159,1016,86379,69,166.215,15.95664,1.595664,0.159566,0.015957,96.799167,9.29272,0.929272,0.092927,0.009293,0.846667,0.08128,0.008128,0.000813,8.1e-05,71.9825,6.91032,0.691032,0.069103,0.00691,0.0575,0.00552,0.000552,5.5e-05,6e-06,196.316929,2890.695652
dataset\sample_100_mix\train__t_14792.jpg,1,detections=1; classes=Liquid Cargo Ship:1; geo_targets=1; total_ms=813.748,146113,56821,669,42135,74,121.760833,11.68904,1.168904,0.11689,0.011689,47.350833,4.54568,0.454568,0.045457,0.004546,0.5575,0.05352,0.005352,0.000535,5.4e-05,35.1125,3.3708,0.33708,0.033708,0.003371,0.061667,0.00592,0.000592,5.9e-05,6e-06,218.405082,1974.5
dataset\sample_100_mix\train__t_14848.jpg,4,"detections=4; classes=Baseball Field:2, Football Field:1, Tennis Court:1; geo_targets=4; total_ms=651.047",202229,131175,1728,97105,105,168.524167,16.17832,1.617832,0.161783,0.016178,109.3125,10.494,1.0494,0.10494,0.010494,1.44,0.13824,0.013824,0.001382,0.000138,80.920833,7.7684,0.77684,0.077684,0.007768,0.0875,0.0084,0.00084,8.4e-05,8e-06,117.030671,1925.990476
dataset\sample_100_mix\train__t_14876.jpg,1,detections=1; classes=Liquid Cargo Ship:1; geo_targets=1; total_ms=814.354,153253,52462,674,38861,74,127.710833,12.26024,1.226024,0.122602,0.01226,43.718333,4.19696,0.419696,0.04197,0.004197,0.561667,0.05392,0.005392,0.000539,5.4e-05,32.384167,3.10888,0.310888,0.031089,0.003109,0.061667,0.00592,0.000592,5.9e-05,6e-06,227.378338,2070.986486
dataset\sample_100_mix\train__t_15054.jpg,3,"detections=3; classes=A330:1, Boeing747:1, Boeing777:1; geo_targets=3; total_ms=636.186",238853,140013,1350,104019,87,199.044167,19.10824,1.910824,0.191082,0.019108,116.6775,11.20104,1.120104,0.11201,0.011201,1.125,0.108,0.0108,0.00108,0.000108,86.6825,8.32152,0.832152,0.083215,0.008322,0.0725,0.00696,0.000696,7e-05,7e-06,176.928148,2745.436782
dataset\sample_100_mix\train__t_15620.jpg,14,"detections=14; classes=Dump Truck:1, Football Field:1, Small Car:6, Van:6; geo_targets=14; total_ms=638.041",300682,189475,5160,138257,107,250.568333,24.05456,2.405456,0.240546,0.024055,157.895833,15.158,1.5158,0.15158,0.015158,4.3,0.4128,0.04128,0.004128,0.000413,115.214167,11.06056,1.106056,0.110606,0.011061,0.089167,0.00856,0.000856,8.6e-05,9e-06,58.271705,2810.11215
dataset\sample_100_mix\train__t_15639.jpg,6,"detections=6; classes=Dry Cargo Ship:1, Fishing Boat:2, Intersection:2, Tugboat:1; geo_targets=6; total_ms=648.054",124687,70630,2418,51179,114,103.905833,9.97496,0.997496,0.09975,0.009975,58.858333,5.6504,0.56504,0.056504,0.00565,2.015,0.19344,0.019344,0.001934,0.000193,42.649167,4.09432,0.409432,0.040943,0.004094,0.095,0.00912,0.000912,9.1e-05,9e-06,51.56617,1093.745614
dataset\sample_100_mix\train__t_15962.jpg,9,"detections=9; classes=Cargo Truck:2, Dry Cargo Ship:6, Van:1; geo_targets=9; total_ms=839.776",236942,188640,3509,138870,93,197.451667,18.95536,1.895536,0.189554,0.018955,157.2,15.0912,1.50912,0.150912,0.015091,2.924167,0.28072,0.028072,0.002807,0.000281,115.725,11.1096,1.11096,0.111096,0.01111,0.0775,0.00744,0.000744,7.4e-05,7e-06,67.524081,2547.763441
dataset\sample_100_mix\train__t_16099.jpg,40,"detections=40; classes=Cargo Truck:3, Dump Truck:2, Intersection:2, Small Car:15, Van:18; geo_targets=40; total_ms=654.887",225113,186023,14396,128741,122,187.594167,18.00904,1.800904,0.18009,0.018009,155.019167,14.88184,1.488184,0.148818,0.014882,11.996667,1.15168,0.115168,0.011517,0.001152,107.284167,10.29928,1.029928,0.102993,0.010299,0.101667,0.00976,0.000976,9.8e-05,1e-05,15.637191,1845.188525
dataset\sample_100_mix\train__t_16211.jpg,11,"detections=11; classes=Bridge:1, Dry Cargo Ship:1, Engineering Ship:3, Fishing Boat:5, other-ship:1; geo_targets=11; total_ms=633.374",210609,133977,4254,97313,133,175.5075,16.84872,1.684872,0.168487,0.016849,111.6475,10.71816,1.071816,0.107182,0.010718,3.545,0.34032,0.034032,0.003403,0.00034,81.094167,7.78504,0.778504,0.07785,0.007785,0.110833,0.01064,0.001064,0.000106,1.1e-05,49.508463,1583.526316
dataset\sample_100_mix\train__t_16230.jpg,4,"detections=4; classes=Boeing737:1, other-airplane:3; geo_targets=4; total_ms=638.141",145632,87508,1736,64349,84,121.36,11.65056,1.165056,0.116506,0.011651,72.923333,7.00064,0.700064,0.070006,0.007001,1.446667,0.13888,0.013888,0.001389,0.000139,53.624167,5.14792,0.514792,0.051479,0.005148,0.07,0.00672,0.000672,6.7e-05,7e-06,83.889401,1733.714286
dataset\sample_100_mix\train__t_16398.jpg,38,"detections=38; classes=Cargo Truck:2, Dump Truck:1, Small Car:19, Van:16; geo_targets=38; total_ms=638.812",254475,196262,13631,136994,106,212.0625,20.358,2.0358,0.20358,0.020358,163.551667,15.70096,1.570096,0.15701,0.015701,11.359167,1.09048,0.109048,0.010905,0.00109,114.161667,10.95952,1.095952,0.109595,0.01096,0.088333,0.00848,0.000848,8.5e-05,8e-06,18.668843,2400.707547
dataset\sample_100_mix\train__t_1976.jpg,4,"detections=4; classes=Liquid Cargo Ship:2, other-ship:2; geo_targets=4; total_ms=633.178",130998,76265,1729,55922,88,109.165,10.47984,1.047984,0.104798,0.01048,63.554167,6.1012,0.61012,0.061012,0.006101,1.440833,0.13832,0.013832,0.001383,0.000138,46.601667,4.47376,0.447376,0.044738,0.004474,0.073333,0.00704,0.000704,7e-05,7e-06,75.765182,1488.613636
dataset\sample_100_mix\train__t_2087.jpg,64,"detections=64; classes=Dump Truck:11, Intersection:2, Small Car:34, Van:17; geo_targets=64; total_ms=652.798",279944,213944,22705,143449,108,233.286667,22.39552,2.239552,0.223955,0.022396,178.286667,17.11552,1.711552,0.171155,0.017116,18.920833,1.8164,0.18164,0.018164,0.001816,119.540833,11.47592,1.147592,0.114759,0.011476,0.09,0.00864,0.000864,8.6e-05,9e-06,12.329619,2592.074074
dataset\sample_100_mix\train__t_2109.jpg,4,"detections=4; classes=A321:1, Boeing737:2, other-airplane:1; geo_targets=4; total_ms=832.5",366688,221967,1688,165229,90,305.573333,29.33504,2.933504,0.29335,0.029335,184.9725,17.75736,1.775736,0.177574,0.017757,1.406667,0.13504,0.013504,0.00135,0.000135,137.690833,13.21832,1.321832,0.132183,0.013218,0.075,0.0072,0.00072,7.2e-05,7e-06,217.232227,4074.311111
dataset\sample_100_mix\train__t_2369.jpg,2,"detections=2; classes=Dry Cargo Ship:1, Engineering Ship:1; geo_targets=2; total_ms=636.521",86506,36536,1024,26653,91,72.088333,6.92048,0.692048,0.069205,0.00692,30.446667,2.92288,0.292288,0.029229,0.002923,0.853333,0.08192,0.008192,0.000819,8.2e-05,22.210833,2.13224,0.213224,0.021322,0.002132,0.075833,0.00728,0.000728,7.3e-05,7e-06,84.478516,950.615385
dataset\sample_100_mix\train__t_2836.jpg,9,"detections=9; classes=A220:2, A321:1, Boeing737:1, Intersection:1, other-airplane:4; geo_targets=9; total_ms=850.01",411892,261619,3480,193625,115,343.243333,32.95136,3.295136,0.329514,0.032951,218.015833,20.92952,2.092952,0.209295,0.02093,2.9,0.2784,0.02784,0.002784,0.000278,161.354167,15.49,1.549,0.1549,0.01549,0.095833,0.0092,0.00092,9.2e-05,9e-06,118.35977,3581.669565
dataset\sample_100_mix\train__t_3018.jpg,1,detections=1; classes=Boeing747:1; geo_targets=1; total_ms=646.308,158552,86085,657,64090,66,132.126667,12.68416,1.268416,0.126842,0.012684,71.7375,6.8868,0.68868,0.068868,0.006887,0.5475,0.05256,0.005256,0.000526,5.3e-05,53.408333,5.1272,0.51272,0.051272,0.005127,0.055,0.00528,0.000528,5.3e-05,5e-06,241.327245,2402.30303
dataset\sample_100_mix\train__t_3247.jpg,23,"detections=23; classes=A220:11, A321:1, Basketball Court:2, Boeing737:3, Boeing747:1, other-airplane:5; geo_targets=23; total_ms=833.719",361184,270131,8340,196363,136,300.986667,28.89472,2.889472,0.288947,0.028895,225.109167,21.61048,2.161048,0.216105,0.02161,6.95,0.6672,0.06672,0.006672,0.000667,163.635833,15.70904,1.570904,0.15709,0.015709,0.113333,0.01088,0.001088,0.000109,1.1e-05,43.307434,2655.764706
dataset\sample_100_mix\train__t_3354.jpg,3,detections=3; classes=Dry Cargo Ship:3; geo_targets=3; total_ms=827.002,374381,204960,1373,152712,71,311.984167,29.95048,2.995048,0.299505,0.02995,170.8,16.3968,1.63968,0.163968,0.016397,1.144167,0.10984,0.010984,0.001098,0.00011,127.26,12.21696,1.221696,0.12217,0.012217,0.059167,0.00568,0.000568,5.7e-05,6e-06,272.673707,5272.971831
dataset\sample_100_mix\train__t_3505.jpg,39,"detections=39; classes=Dump Truck:5, Intersection:1, Small Car:16, Tennis Court:2, Van:15; geo_targets=39; total_ms=855.364",493257,380127,13944,274659,123,411.0475,39.46056,3.946056,0.394606,0.039461,316.7725,30.41016,3.041016,0.304102,0.03041,11.62,1.11552,0.111552,0.011155,0.001116,228.8825,21.97272,2.197272,0.219727,0.021973,0.1025,0.00984,0.000984,9.8e-05,1e-05,35.374139,4010.219512
dataset\sample_100_mix\train__t_3561.jpg,31,"detections=31; classes=A321:1, A330:1, Boeing737:1, Boeing747:1, other-airplane:27; geo_targets=31; total_ms=840.159",327664,239871,11400,171374,116,273.053333,26.21312,2.621312,0.262131,0.026213,199.8925,19.18968,1.918968,0.191897,0.01919,9.5,0.912,0.0912,0.00912,0.000912,142.811667,13.70992,1.370992,0.137099,0.01371,0.096667,0.00928,0.000928,9.3e-05,9e-06,28.742456,2824.689655
dataset\sample_100_mix\train__t_3867.jpg,11,"detections=11; classes=Football Field:1, Small Car:2, Tennis Court:7, Van:1; geo_targets=11; total_ms=632.577",220876,145658,4183,106126,109,184.063333,17.67008,1.767008,0.176701,0.01767,121.381667,11.65264,1.165264,0.116526,0.011653,3.485833,0.33464,0.033464,0.003346,0.000335,88.438333,8.49008,0.849008,0.084901,0.00849,0.090833,0.00872,0.000872,8.7e-05,9e-06,52.803251,2026.385321
dataset\sample_100_mix\train__t_3945.jpg,9,"detections=9; classes=Bridge:1, Dry Cargo Ship:8; geo_targets=9; total_ms=652.323",199111,124949,3498,91108,81,165.925833,15.92888,1.592888,0.159289,0.015929,104.124167,9.99592,0.999592,0.099959,0.009996,2.915,0.27984,0.027984,0.002798,0.00028,75.923333,7.28864,0.728864,0.072886,0.007289,0.0675,0.00648,0.000648,6.5e-05,6e-06,56.921384,2458.160494
dataset\sample_100_mix\train__t_3955.jpg,62,"detections=62; classes=Basketball Court:1, Cargo Truck:6, Dump Truck:3, Roundabout:1, Small Car:22, Van:29; geo_targets=62; total_ms=655.37",297670,221294,22063,149443,139,248.058333,23.8136,2.38136,0.238136,0.023814,184.411667,17.70352,1.770352,0.177035,0.017704,18.385833,1.76504,0.176504,0.01765,0.001765,124.535833,11.95544,1.195544,0.119554,0.011955,0.115833,0.01112,0.001112,0.000111,1.1e-05,13.491819,2141.510791
dataset\sample_100_mix\train__t_4614.jpg,4,"detections=4; classes=Basketball Court:3, Football Field:1; geo_targets=4; total_ms=624.832",212322,127762,1735,94541,91,176.935,16.98576,1.698576,0.169858,0.016986,106.468333,10.22096,1.022096,0.10221,0.010221,1.445833,0.1388,0.01388,0.001388,0.000139,78.784167,7.56328,0.756328,0.075633,0.007563,0.075833,0.00728,0.000728,7.3e-05,7e-06,122.375793,2333.208791
dataset\sample_100_mix\train__t_5330.jpg,6,"detections=6; classes=A220:2, A321:1, Intersection:1, other-airplane:2; geo_targets=6; total_ms=850.14",336755,205054,2399,152013,102,280.629167,26.9404,2.69404,0.269404,0.02694,170.878333,16.40432,1.640432,0.164043,0.016404,1.999167,0.19192,0.019192,0.001919,0.000192,126.6775,12.16104,1.216104,0.12161,0.012161,0.085,0.00816,0.000816,8.2e-05,8e-06,140.373072,3301.519608
dataset\sample_100_mix\train__t_566.jpg,11,"detections=11; classes=A321:2, Boeing737:4, Intersection:2, other-airplane:3; geo_targets=11; total_ms=841.096",373663,242848,4169,179030,110,311.385833,29.89304,2.989304,0.29893,0.029893,202.373333,19.42784,1.942784,0.194278,0.019428,3.474167,0.33352,0.033352,0.003335,0.000334,149.191667,14.3224,1.43224,0.143224,0.014322,0.091667,0.0088,0.00088,8.8e-05,9e-06,89.628928,3396.936364
dataset\sample_100_mix\train__t_6074.jpg,12,"detections=12; classes=A220:5, A330:1, Boeing737:1, Boeing747:1, other-airplane:4; geo_targets=12; total_ms=847.52",246033,188356,4505,137910,114,205.0275,19.68264,1.968264,0.196826,0.019683,156.963333,15.06848,1.506848,0.150685,0.015068,3.754167,0.3604,0.03604,0.003604,0.00036,114.925,11.0328,1.10328,0.110328,0.011033,0.095,0.00912,0.000912,9.1e-05,9e-06,54.613319,2158.184211
dataset\sample_100_mix\train__t_6103.jpg,4,"detections=4; classes=A220:1, A321:1, Boeing737:1, Intersection:1; geo_targets=4; total_ms=838.602",359588,214217,1686,159418,98,299.656667,28.76704,2.876704,0.28767,0.028767,178.514167,17.13736,1.713736,0.171374,0.017137,1.405,0.13488,0.013488,0.001349,0.000135,132.848333,12.75344,1.275344,0.127534,0.012753,0.081667,0.00784,0.000784,7.8e-05,8e-06,213.278766,3669.265306
dataset\sample_100_mix\train__t_6735.jpg,29,"detections=29; classes=Dump Truck:1, Intersection:1, Small Car:18, Van:9; geo_targets=29; total_ms=645.153",298272,209479,10500,149255,106,248.56,23.86176,2.386176,0.238618,0.023862,174.565833,16.75832,1.675832,0.167583,0.016758,8.75,0.84,0.084,0.0084,0.00084,124.379167,11.9404,1.19404,0.119404,0.01194,0.088333,0.00848,0.000848,8.5e-05,8e-06,28.406857,2813.886792
dataset\sample_100_mix\train__t_6941.jpg,16,"detections=16; classes=A220:2, A321:2, A330:1, C919:1, other-airplane:10; geo_targets=16; total_ms=639.769",229437,160362,6003,115790,106,191.1975,18.35496,1.835496,0.18355,0.018355,133.635,12.82896,1.282896,0.12829,0.012829,5.0025,0.48024,0.048024,0.004802,0.00048,96.491667,9.2632,0.92632,0.092632,0.009263,0.088333,0.00848,0.000848,8.5e-05,8e-06,38.22039,2164.5
